"id","journal","journal_en","ssh"
744,"2019世界经济特区（深圳）论坛——从经济特区到中国特色社会主义先行示范区论文集（中英文双语）","2019 World Special Economic Zone (Shenzhen) Forum - From Special Economic Zone to Early Demonstration Zone of Socialism with Chinese Characteristics Proceedings (Bilingual)",1
745,"临床心血管病杂志","Journal of Clinical Cardiovascular Diseases",1
746,"中国调味品","China Seasoning",1
747,"中国健康教育","China Health Education",1
748,"世界电影","World Cinema",1
749,"Journal of Resources and Ecology","Journal of Resources and Ecology",1
750,"教育现代化","Education Modernization",1
751,"红旗文稿","Red Flag Manuscript",1
752,"当代教育与文化","Contemporary Education and Culture",1
753,"宁夏社会科学","Ningxia Social Science",1
754,"亚太经济","Asia-Pacific Economy",1
755,"中国临床药理学杂志","Chinese Journal of Clinical Pharmacology",1
756,"有色金属(选矿部分)","Non-ferrous metals (mineral processing part)",1
757,"国际展望","International Outlook",1
758,"中国有线电视","China Cable TV",1
759,"渭南师范学院学报","Journal of Weinan Normal College",1
760,"制度型开放与“一带一路”高质量发展论文集（上）","Essays on Institutional Openness and High Quality Development of ""Belt and Road"" (Previous)",1
761,"南方论刊","Southern Journal",1
762,"西安财经学院学报","Journal of Xi'an University of Finance and Economics",1
763,"城乡建设","Urban and Rural Construction",1
764,"中国发展观察","China Development Watch",1
765,"中华中医药杂志","Chinese Journal of Traditional Chinese Medicine",1
766,"产业与科技论坛","Industry and Technology Forum",1
767,"中国药房","China Pharmacy",1
768,"临床医药文献电子杂志","Electronic Journal of Clinical Medicine Literature",1
769,"广西质量监督导报","Guangxi Quality Supervision Herald",1
770,"蚕桑茶叶通讯","Sericulture Tea Newsletter",1
771,"晋中学院学报","Journal of Jinzhong College",1
772,"中国心理卫生杂志","Chinese Journal of Mental Health",1
773,"心血管外科杂志(电子版)","Journal of Cardiovascular Surgery (electronic version)",1
774,"2019油气田勘探与开发国际会议论文集","Proceedings of the 2019 International Conference on Oil and Gas Field Exploration and Development",1
775,"西域研究","Western Studies",1
776,"中国汽车","China Auto",1
777,"湖北科技学院学报","Journal of Hubei Institute of Science and Technology",1
778,"黑龙江交通科技","Heilongjiang Transportation Technology",1
779,"交通世界","Transportation World",1
780,"新闻知识","News Knowledge",1
781,"第十六届中国标准化论坛论文集","Proceedings of the 16th China Standardization Forum",1
782,"华中建筑","Huazhong Architecture",1
783,"纺织导报","Textile Herald",1
784,"现代中西医结合杂志","Modern Journal of Integrated Chinese and Western Medicine",1
785,"古代文明","Ancient Civilizations",1
786,"2019年南国博览学术研讨会论文集（二）","Proceedings of the 2019 Southland Expo Symposium (II)",1
787,"消防界(电子版)","Firefighting community (electronic version)",1
788,"天然气勘探与开发","Natural Gas Exploration and Development",1
789,"河南科技","Henan Science and Technology",1
790,"山西医科大学学报","Journal of Shanxi Medical University",1
791,"医学研究杂志","Journal of Medical Research",1
792,"中国科学院大学学报","Journal of the University of Chinese Academy of Sciences",1
793,"能源研究与管理","Energy Research and Management",1
794,"吉林省教育学院学报","Journal of Jilin Provincial College of Education",1
795,"上海工艺美术","Shanghai Arts and Crafts",1
796,"自动化博览","Automation Expo",1
797,"新疆财经大学学报","Journal of Xinjiang University of Finance and Economics",1
798,"民航管理","Civil Aviation Management",1
799,"食品与机械","Food and Machinery",1
800,"中国食用菌","China Edible Mushroom",1
801,"国际汉语教育(中英文)","International Chinese Language Education (Chinese and English)",1
802,"改革与开放","Reform and Opening",1
803,"辽宁大学学报(哲学社会科学版)","Journal of Liaoning University (Philosophy and Social Science Edition)",1
804,"国际商务(对外经济贸易大学学报)","International Business (Journal of the University of International Business and Economics)",1
805,"铜仁学院学报","Journal of Tongren College",1
806,"木材加工机械","Wood processing machinery",1
807,"高科技与产业化","High Technology and Industrialization",1
808,"邢台职业技术学院学报","Journal of Xingtai Vocational and Technical College",1
809,"国际贸易","International Trade",1
810,"科技创业月刊","Technology Venture Monthly",1
811,"福建茶叶","Fujian Tea",1
812,"中国组织化学与细胞化学杂志","Chinese Journal of Histochemistry and Cytochemistry",1
813,"传播力研究","Communication Power Research",1
814,"中国解剖学会2019年年会论文文摘汇编","Compilation of Abstracts of Papers from the 2019 Annual Meeting of the Chinese Society of Anatomy",1
815,"吉林畜牧兽医","Jilin Animal Husbandry Veterinarian",1
816,"中华老年心脑血管病杂志","Chinese Journal of Geriatric Cardiovascular and Cerebrovascular Diseases",1
817,"东方企业文化","Oriental Corporate Culture",1
818,"服装学报","Journal of Apparel",1
819,"和田师范专科学校学报","Journal of Hotan Normal College",1
820,"资源导刊","Resource Guide",1
821,"内蒙古公路与运输","Inner Mongolia Road & Transportation",1
822,"进出口经理人","Import and Export Manager",1
823,"中国现代医学杂志","Chinese Journal of Modern Medicine",1
824,"石油钻探技术","Oil Drilling Technology",1
825,"设备监理","Equipment Supervision",1
826,"克拉玛依学刊","Karamay Journal",1
827,"石油规划设计","Petroleum planning and design",1
828,"地理研究","Geographic Research",1
829,"未来与发展","Future and Development",1
830,"水电站机电技术","Hydropower station electromechanical technology",1
831,"蔬菜","Vegetables",1
832,"北方民族大学学报(哲学社会科学版)","Journal of Northern University for Nationalities (Philosophy and Social Science Edition)",1
833,"教育学术月刊","Educational Academic Monthly",1
834,"中国报道","China Report",1
835,"江汉大学学报(社会科学版)","Journal of Jianghan University (Social Science Edition)",1
836,"农家参谋","Farm Staff",1
837,"满语研究","Manchu Studies",1
838,"中国有色冶金","China Nonferrous Metallurgy",1
839,"辽宁化工","Liaoning Chemical",1
840,"矿冶","Mining and Metallurgy",1
841,"工程勘察","Engineering Surveys",1
842,"吉林艺术学院学报","Journal of Jilin Academy of Arts",1
843,"炼油技术与工程","Refinery Technology and Engineering",1
844,"贵州大学学报(自然科学版)","Journal of Guizhou University (Natural Science Edition)",1
845,"吉林中医药","Jilin Chinese Medicine",1
846,"当代石油石化","Contemporary Oil & Petrochemical",1
847,"吐鲁番学研究","Tulipology Studies",1
848,"果树实用技术与信息","Practical techniques and information on fruit trees",1
849,"浙江纺织服装职业技术学院学报","Journal of Zhejiang Textile and Clothing Vocational and Technical College",1
850,"商用汽车","Commercial Vehicles",1
851,"中国电力教育","China Electricity Education",1
852,"广东蚕业","Guangdong Sericulture",1
853,"北京生物医学工程","Beijing Biomedical Engineering",1
854,"金融理论与实践","Financial Theory and Practice",1
855,"中国财政","China Finance",1
856,"中国民族","Chinese Nationalities",1
857,"现代经济信息","Modern Economic Information",1
858,"中国西部","Western China",1
859,"2019年“多语共建人类命运共同体”国际学术研讨会  暨首届“海上论坛”青年学者工作坊论文摘要集","2019 International Symposium on ""Building a Community of Human Destiny through Multilingualism"" and the First ""Maritime Forum"" Young Scholars Workshop Abstracts",1
860,"水电与新能源","Hydropower and New Energy",1
861,"中国穆斯林","Chinese Muslims",1
862,"海军医学杂志","Journal of Naval Medicine",1
863,"中国石油勘探","China Oil Exploration",1
864,"招标采购管理","Tender procurement management",1
865,"上海经济","Shanghai Economy",1
866,"城市建筑","Urban Architecture",1
867,"Proceedings of 4th International Conference on Humanities Science and Society Development(ICHSSD 2019)(Advances in Social Science, Education and Humanities Research,VOL.328)","Proceedings of 4th International Conference on Humanities Science and Society Development (ICHSSD 2019) (Advances in Social Science, Education and Humanities Research, VOL.328)",1
868,"世界科技研究与发展","World Science and Technology Research and Development",1
869,"山东警察学院学报","Journal of Shandong Police Academy",1
870,"榆林学院学报","Journal of Yulin College",1
871,"China Oil & Gas","China Oil & Gas",1
872,"艺术百家","Art 100",1
873,"2019对外汉语博士生论坛暨第十二届对外汉语教学研究生学术论坛论文集","Proceedings of the 2019 Doctoral Forum on Chinese as a Foreign Language and the 12th Postgraduate Academic Forum on Teaching Chinese as a Foreign Language",1
874,"现代电子技术","Modern Electronics",1
875,"探矿工程(岩土钻掘工程)","Exploration Engineering (Geotechnical Drilling Engineering)",1
876,"区域治理","Regional Governance",1
877,"文史杂志","Journal of Literature and History",1
878,"学理论","Academic Theory",1
879,"中国粮食经济","China Food Economy",1
880,"经济问题探索","Exploring Economic Issues",1
881,"中西医结合心血管病电子杂志","Electronic Journal of Integrative Medicine and Cardiovascular Diseases",1
882,"科学技术与工程","Science, Technology & Engineering",1
883,"世界最新医学信息文摘","World's Newest Medical Information Digest",1
884,"兵团工运","Corps Labor Movement",1
885,"电影新作","New film productions",1
886,"理论研究","Theoretical Research",1
887,"山东化工","Shandong Chemical",1
888,"酿酒科技","Winemaking Technology",1
889,"临床输血与检验","Clinical Blood Transfusion and Testing",1
890,"中共郑州市委党校学报","Journal of the Party School of Zhengzhou Municipal Committee of the Communist Party of China",1
891,"发展研究","Development Studies",1
892,"中国矿物岩石地球化学学会第17届学术年会论文摘要集","Abstracts of the 17th Annual Meeting of the Chinese Society of Mineral and Rock Geochemistry",1
893,"化工设计","Chemical design",1
894,"水利与建筑工程学报","Journal of Water Resources and Construction Engineering",1
895,"汉语学习","Chinese Language Learning",1
896,"重庆交通大学学报(社会科学版)","Journal of Chongqing Jiaotong University (Social Science Edition)",1
897,"宝鸡文理学院学报(社会科学版)","Journal of Baoji College of Arts and Science (Social Science Edition)",1
898,"安顺学院学报","Journal of Anshun College",1
899,"黑龙江农业科学","Heilongjiang Agricultural Science",1
900,"开放导报","Open Guide",1
901,"北京大学学报(自然科学版)","Journal of Peking University (Natural Science Edition)",1
902,"产权导刊","Property Rights Guide",1
903,"中国特种设备安全","China Special Equipment Safety",1
904,"大医生","The Great Physician",1
905,"艺术科技","Art Technology",1
906,"国企管理","SOE Management",1
907,"上海人大月刊","Shanghai NPC Monthly",1
908,"工程机械与维修","Construction Machinery and Maintenance",1
909,"社会科学","Social Sciences",1
910,"全科口腔医学电子杂志","Electronic Journal of General Practice Dentistry",1
911,"俄语学习","Russian Language Learning",1
912,"橡塑技术与装备","Rubber and plastic technology and equipment",1
913,"职业与健康","Occupation and Health",1
914,"社会科学战线","Social Science Front",1
915,"中国管理信息化","China Management Information Technology",1
916,"语言生活皮书——中国语言生活状况报告（2018）","Language Life Paper - Report on the State of Language Life in China (2018)",1
917,"西南汽车信息（2018年第4期 总第385期）","Southwest Automotive Information (Issue 4, 2018 Total 385)",1
918,"湖北函授大学学报","Journal of Hubei Correspondence University",1
919,"中国介入心脏病学杂志","Chinese Journal of Interventional Cardiology",1
920,"世界热带农业信息","World Tropical Agriculture Information",1
921,"资源科学","Resource Science",1
922,"企业经济","Business Economics",1
923,"科学管理研究","Scientific Management Research",1
924,"现代塑料加工应用","Modern plastic processing applications",1
925,"国际融资","International Financing",1
926,"皖西学院学报","Journal of Wanxi College",1
927,"才智","talent and wisdom",1
928,"电脑知识与技术","Computer Knowledge and Technology",1
929,"城市公共交通","Urban Public Transportation",1
930,"走向世界","Going Global",1
931,"黑龙江民族丛刊","Heilongjiang Nation Series",1
932,"艺术教育","Art Education",1
933,"国际经济分析与展望（2017～2018）","International Economic Analysis and Prospects (2017 to 2018)",1
934,"扬州大学学报(人文社会科学版)","Journal of Yangzhou University (Humanities and Social Sciences Edition)",1
935,"新疆师范大学学报(自然科学版)","Journal of Xinjiang Normal University (Natural Science Edition)",1
936,"中医药管理杂志","Journal of Chinese Medicine Management",1
937,"中国优生与遗传杂志","Chinese Journal of Eugenics and Genetics",1
938,"华夏文化","Huaxia Culture",1
939,"金融经济","Financial Economics",1
940,"金融市场研究","Financial Market Research",1
941,"民族研究","Ethnic Studies",1
942,"自然科学博物馆研究","Natural Science Museum Research",1
943,"塑料工业","Plastics Industry",1
944,"天津外国语大学学报","Journal of Tianjin Foreign Studies University",1
945,"西北民族大学学报(哲学社会科学版)","Journal of Northwest University for Nationalities (Philosophy and Social Science Edition)",1
946,"东南大学学报(哲学社会科学版)","Journal of Southeast University (Philosophy and Social Science Edition)",1
947,"辽宁经济","Liaoning Economy",1
948,"人民公交","People's Bus",1
949,"经营与管理","Management & Administration",1
950,"地质论评","Geological Review",1
951,"地质科技情报","Geological Science and Technology Information",1
952,"岩石学报","Journal of Petrology",1
953,"新金融","New Finance",1
954,"统计与信息论坛","Statistics and Information Forum",1
955,"世纪","Century",1
956,"理论导刊","Theoretical Guide",1
957,"华侨华人历史研究","Overseas Chinese Historical Studies",1
958,"发展改革理论与实践","Theory and Practice of Development Reform",1
959,"创新世界周刊","Innovation World Weekly",1
960,"俄罗斯研究","Russian Studies",1
961,"图书馆理论与实践","Library Theory and Practice",1
962,"民族音乐","Ethnic Music",1
963,"职业","Career",1
964,"山西档案","Shanxi Archives",1
965,"中国发展","China Development",1
966,"武警学院学报","Journal of Armed Police Academy",1
967,"经济与社会发展","Economic and Social Development",1
968,"改革与战略","Reform and Strategy",1
969,"民主与科学","Democracy and Science",1
970,"小水电","Small hydropower",1
971,"教学与研究","Teaching and Research",1
972,"辽宁经济职业技术学院.辽宁经济管理干部学院学报","Liaoning Institute of Economics and Technology. Journal of Liaoning Economic Management Cadre College",1
973,"西部特种设备","Western Special Equipment",1
974,"现代电影技术","Modern Film Technology",1
975,"中国地质调查","China Geological Survey",1
976,"四川警察学院学报","Journal of Sichuan Police Academy",1
977,"山东医药","Shandong Medicine",1
978,"西部大开发","Western Development",1
979,"西安交通大学学报(医学版)","Journal of Xi'an Jiaotong University (Medical Edition)",1
980,"中华消化病与影像杂志(电子版)","Chinese Journal of Gastroenterology and Imaging (electronic version)",1
981,"解放军预防医学杂志","Journal of Preventive Medicine of the People's Liberation Army",1
982,"青海社会科学","Qinghai Social Science",1
983,"兰州大学学报(社会科学版)","Journal of Lanzhou University (Social Science Edition)",1
984,"世界环境","World Environment",1
985,"建筑技术开发","Construction Technology Development",1
986,"当代兵团","Contemporary Corps",1
987,"通化师范学院学报","Journal of Tonghua Normal University",1
988,"国际安全研究","International Security Studies",1
989,"运动","Movement",1
990,"大地测量与地球动力学","Geodesy and Geodynamics",1
991,"经贸实践","Economic and Trade Practices",1
992,"网印工业","Screen Printing Industry",1
993,"歌海","Songhai",1
994,"中文信息学报","Chinese Journal of Informatics",1
995,"通用机械","General Machinery",1
996,"天然气地球科学","Natural Gas Geoscience",1
997,"当代教育实践与教学研究","Contemporary Educational Practice and Teaching Research",1
998,"世界汉语教学","World Chinese Language Teaching",1
999,"系统医学","Systemic Medicine",1
1000,"南方企业家","Southern Entrepreneurs",1
1001,"中国媒介生物学及控制杂志","Chinese Journal of Vector Biology and Control",1
1002,"食品科学","Food Science",1
1003,"河北经贸大学学报(综合版)","Journal of Hebei University of Economics and Business (Comprehensive Edition)",1
1004,"出版与印刷","Publishing and Printing",1
1005,"遗产与保护研究","Heritage and Conservation Studies",1
1006,"中国发明与专利","China Inventions and Patents",1
1007,"四川地质学报","Sichuan Journal of Geology",1
1008,"国际经贸探索","International trade and economic exploration",1
1009,"焊接","Welding",1
1010,"西部广播电视","Western Radio and Television",1
1011,"中国骨质疏松杂志","Chinese Journal of Osteoporosis",1
1012,"现代农村科技","Modern Rural Technology",1
1013,"甘肃高师学报","Gansu Journal of Higher Education",1
1014,"职教论坛","Vocational Education Forum",1
1015,"甘肃金融","Gansu Finance",1
1016,"山地学报","Mountain Journal",1
1017,"造纸装备及材料","Paper equipment and materials",1
1018,"资源与人居环境","Resources and Habitat",1
1019,"南昌师范学院学报","Journal of Nanchang Normal College",1
1020,"消防科学与技术","Fire Science and Technology",1
1021,"农垦医学","Agricultural Medicine",1
1022,"居舍","Residence",1
1023,"中西医结合心脑血管病杂志","Journal of Integrative Medicine and Cardiovascular Diseases",1
1024,"医学理论与实践","Medical Theory and Practice",1
1025,"新疆人大(汉文)","Xinjiang People's Congress (in Chinese)",1
1026,"长江蔬菜","Yangtze River Vegetables",1
1027,"职业教育研究","Vocational Education Research",1
1028,"中国建材","China Building Materials",1
1029,"实用妇科内分泌杂志(电子版)","Journal of Practical Gynecological Endocrinology (electronic version)",1
1030,"上海质量","Shanghai Quality",1
1031,"陕西行政学院学报","Journal of Shaanxi Administrative College",1
1032,"第二十五届粤鲁冀晋川辽陕京赣闽十省市金属学会矿业学术交流会论文集（上册）","Proceedings of the Twenty-fifth Guangdong, Lu, Hebei, Jin, Chuan, Liaoning, Shaanxi, Beijing, Gan, Fujian, Ten Provinces and Cities Metals Society Mining Academic Exchange Conference (Previous Book)",1
1033,"新兴经济体研究会2018年会暨第6届新兴经济体论坛人类命运共同体论文集（上）","Emerging Economies Research Society 2018 Annual Conference and 6th Emerging Economies Forum Human Destiny Community Proceedings (above)",1
1034,"中国斜视与小儿眼科杂志","Chinese Journal of Strabismus and Pediatric Ophthalmology",1
1035,"职教通讯","VET Newsletter",1
1036,"孙子研究","Sun Tzu Studies",1
1037,"中央民族大学学报(哲学社会科学版)","Journal of Central University for Nationalities (Philosophy and Social Science Edition)",1
1038,"湖北大学学报(哲学社会科学版)","Journal of Hubei University (Philosophy and Social Science Edition)",1
1039,"新闻前哨","News Outpost",1
1040,"广东医学","Guangdong Medicine",1
1041,"经济研究参考","Economic Research Reference",1
1042,"现代畜牧科技","Modern Animal Husbandry Technology",1
1043,"理论月刊","Theory Monthly",1
1044,"中国医院药学杂志","Chinese Journal of Hospital Pharmacy",1
1045,"传媒法与法治新闻研究2018年卷","Media Law and Rule of Law Journalism Studies Volume 2018",1
1046,"决策咨询","Decision Making Consulting",1
1047,"金融发展评论","Financial Development Review",1
1048,"全球化","Globalization",1
1049,"第35届中国气象学会年会 S5 气候变暖背景下干旱灾害形成机制变化与监测预测及其影响评估","35th Annual Meeting of the Chinese Meteorological Society S5 Changes in Drought Disaster Formation Mechanism and Monitoring Prediction in the Context of Climate Warming and Its Impact Assessment",1
1050,"第十五届中国标准化论坛论文集","Proceedings of the 15th China Standardization Forum",1
1051,"2018年中国地球科学联合学术年会论文集（六）——专题12：中亚造山带构造演化、深部过程与成矿作用、专题13：三江特提斯域构造: 深部地壳流变与地表地貌响应过程与机制","Proceedings of the 2018 China Joint Geoscience Academic Sessions (VI) - Topic 12: Tectonic Evolution, Deep Processes and Metallogenesis in the Central Asian Orogenic Belt, Topic 13: Sanjiang Tethys Domain Tectonics: Processes and Mechanisms of Deep Crustal Flux and Surface Geomorphic Response",1
1052,"中国水利学会2018学术年会论文集第五分册","Proceedings of the 2018 Annual Academic Conference of the Chinese Water Conservancy Society, Volume V",1
1053,"水力发电","Hydroelectricity",1
1054,"内蒙古社会科学(汉文版)","Inner Mongolia Social Science (Chinese version)",1
1055,"中国中西医结合学会肾脏疾病专业委员会2018年学术年会专题讲座汇编","Compilation of lectures from the 2018 Annual Academic Conference of the Renal Disease Committee of the Chinese Society of Integrative Medicine",1
1056,"中国中西医结合学会肾脏疾病专业委员会2018年学术年会论文摘要汇编","Compilation of Abstracts from the 2018 Annual Academic Conference of the Renal Disease Committee of the Chinese Society of Integrative Medicine",1
1057,"中国计量","China Metrology",1
1058,"中国瓜菜","Chinese Squash",1
1059,"商业观察","Business Watch",1
1060,"数量经济技术经济研究","Quantitative Economic and Technical Economics Research",1
1061,"西安科技大学学报","Journal of Xi'an University of Science and Technology",1
1062,"淮海工学院学报(人文社会科学版)","Journal of Huaihai University of Technology (Humanities and Social Sciences Edition)",1
1063,"德国研究","German Research",1
1064,"当代外语研究","Contemporary Foreign Language Studies",1
1065,"巢湖学院学报","Journal of Chaohu College",1
1066,"癌症进展","Cancer Progress",1
1067,"兰州教育学院学报","Journal of Lanzhou College of Education",1
1068,"文化遗产","Cultural Heritage",1
1069,"人文杂志","Humanities Magazine",1
1070,"标准科学","Standard Science",1
1071,"煤炭高等教育","Coal Higher Education",1
1072,"中山大学学报(社会科学版)","Journal of Zhongshan University (Social Science Edition)",1
1073,"华北理工大学学报(社会科学版)","Journal of North China University of Technology (Social Science Edition)",1
1074,"现代视听","Modern Audiovisual",1
1075,"科技视界","Technology Vision",1
1076,"茶叶","Tea",1
1077,"现代管理科学","Modern Management Science",1
1078,"国外社会科学文摘","Foreign Social Science Abstracts",1
1079,"现代预防医学","Modern Preventive Medicine",1
1080,"铁道运输与经济","Rail Transport and Economy",1
1081,"地学前缘","Geoscientific antecedents",1
1082,"科技风","Technology Wind",1
1083,"中国博物馆通讯(2018年09月总第373期）","Chinese Museum Newsletter (Issue 373, September 2018)",1
1084,"创新与发展：中国证券业2017年论文集","Innovation and Development: Proceedings of China Securities Industry 2017",1
1085,"农业图书情报学刊","Journal of Agricultural Library Information",1
1086,"铁道货运","Rail freight",1
1087,"牡丹江教育学院学报","Journal of Mudanjiang College of Education",1
1088,"天然气技术与经济","Natural Gas Technology and Economics",1
1089,"西安文理学院学报(社会科学版)","Journal of Xi'an College of Arts and Sciences (Social Science Edition)",1
1090,"新闻论坛","News Forum",1
1091,"有色冶金节能","Non-ferrous metallurgy energy saving",1
1092,"兰州财经大学学报","Journal of Lanzhou University of Finance and Economics",1
1093,"广西财经学院学报","Journal of Guangxi University of Finance and Economics",1
1094,"安装","Installation",1
1095,"兽医导刊","Veterinary Guide",1
1096,"合肥工业大学学报(社会科学版)","Journal of Hefei University of Technology (Social Science Edition)",1
1097,"中国人民公安大学学报(自然科学版)","Journal of the Chinese People's Public Security University (Natural Science Edition)",1
1098,"黑龙江医药科学","Heilongjiang Pharmaceutical Science",1
1099,"上海艺术评论","Shanghai Art Review",1
1100,"有色设备","Non-ferrous equipment",1
1101,"现代畜牧兽医","Modern Animal Husbandry and Veterinary Medicine",1
1102,"中国老年学杂志","Chinese Journal of Gerontology",1
1103,"中国橡胶","China Rubber",1
1104,"新疆畜牧业","Xinjiang Animal Husbandry",1
1105,"信息记录材料","Information recording materials",1
1106,"动物营养学报","Journal of Animal Nutrition",1
1107,"解放军医院管理杂志","PLA Journal of Hospital Management",1
1108,"天津农业科学","Tianjin Agricultural Science",1
1109,"中国医药指南","China Medicine Guide",1
1110,"河南科技学院学报","Journal of Henan University of Science and Technology",1
1111,"科教导刊(下旬)","Science Education Guide (second half)",1
1112,"机电信息","Mechatronics Information",1
1113,"开封教育学院学报","Journal of Kaifeng College of Education",1
1114,"湖北民族学院学报(哲学社会科学版)","Journal of Hubei College of Nationalities (Philosophy and Social Science Edition)",1
1115,"东北大学学报(社会科学版)","Journal of Northeastern University (Social Science Edition)",1
1116,"疑难病杂志","Journal of Difficult Diseases",1
1117,"国际法研究","International Law Studies",1
1118,"情报探索","Intelligence Exploration",1
1119,"中华商标","Chinese Trademark",1
1120,"企业科技与发展","Corporate Technology and Development",1
1121,"北方经济","Northern Economy",1
1122,"语言战略研究","Language Strategy Research",1
1123,"南亚研究","South Asian Studies",1
1124,"长春教育学院学报","Journal of Changchun College of Education",1
1125,"Journal of Geographical Sciences","Journal of Geographical Sciences",1
1126,"水资源保护","Water Resources Protection",1
1127,"艺术市场","Art Market",1
1128,"养殖与饲料","Farming and Feed",1
1129,"现代交通技术","Modern Transportation Technology",1
1130,"橡胶工业","Rubber Industry",1
1131,"新技术新工艺","New Technology New Process",1
1132,"中外医学研究","Chinese and Foreign Medical Research",1
1133,"文艺争鸣","Literary Controversy",1
1134,"安庆师范大学学报(社会科学版)","Journal of Anqing Normal University (Social Science Edition)",1
1135,"新疆有色金属","Xinjiang Non-Ferrous Metals",1
1136,"东北师大学报(自然科学版)","Journal of Northeast Normal University (Natural Science Edition)",1
1137,"中国科学院院刊","Proceedings of the Chinese Academy of Sciences",1
1138,"犯罪研究","Crime Research",1
1139,"防灾博览","Disaster Prevention Expo",1
1140,"新疆职业大学学报","Journal of Xinjiang Vocational University",1
1141,"现代地质","Modern Geology",1
1142,"企业改革与管理","Corporate Reform and Management",1
1143,"电器与能效管理技术","Electrical and Energy Efficiency Management Technology",1
1144,"新闻大学","University of Journalism",1
1145,"财贸经济","Finance and Trade Economics",1
1146,"河南财政税务高等专科学校学报","Journal of Henan Higher Institute of Finance and Taxation",1
1147,"兰州交通大学学报","Journal of Lanzhou Jiaotong University",1
1148,"甘肃广播电视大学学报","Journal of Gansu Radio and Television University",1
1149,"云南化工","Yunnan Chemical",1
1150,"心肺血管病杂志","Journal of Cardiopulmonary Vascular Disease",1
1151,"临床血液学杂志","Journal of Clinical Hematology",1
1152,"江苏经贸职业技术学院学报","Journal of Jiangsu Economic and Trade Vocational and Technical College",1
1153,"科学·经济·社会","Science - Economy - Society",1
1154,"重庆高教研究","Chongqing Higher Education Research",1
1155,"美术研究","Fine Art Research",1
1156,"第七届海峡两岸经济地理研讨会摘要集","The Seventh Cross-Strait Economic Geography Symposium Abstracts Collection",1
1157,"公共外交季刊（2018年第1期 春季号）","Public Diplomacy Quarterly (No. 1, Spring 2018)",1
1158,"内江科技","Neijiang Technology",1
1159,"有色金属(矿山部分)","Non-ferrous metals (mining part)",1
1160,"卫生职业教育","Health Professions Education",1
1161,"旅游纵览(下半月)","Travel Overview (second half of the month)",1
1162,"中国临床研究","China Clinical Research",1
1163,"中国民航飞行学院学报","Journal of Civil Aviation Flight Academy of China",1
1164,"南方农机","Southern Agricultural Machinery",1
1165,"中国乡镇企业会计","Accounting for Township Enterprises in China",1
1166,"计算机与现代化","Computers and Modernization",1
1167,"青海师范大学学报(哲学社会科学版)","Journal of Qinghai Normal University (Philosophy and Social Science Edition)",1
1168,"今日工程机械","Construction Machinery Today",1
1169,"经济纵横","Economy",1
1170,"美术","Fine Arts",1
1171,"秘书工作","Secretarial work",1
1172,"中国书法","Chinese Calligraphy",1
1173,"化学教育","Chemical Education",1
1174,"中国经济报告","China Economic Report",1
1175,"纳税","Tax Payment",1
1176,"中国人口·资源与环境","China Population-Resources and Environment",1
1177,"毛泽东邓小平理论研究","Mao Zedong Deng Xiaoping Theory Study",1
1178,"中华文化论坛","Chinese Culture Forum",1
1179,"经济地理","Economic Geography",1
1180,"中国学校卫生","School Health in China",1
1181,"经济体制改革","Economic System Reform",1
1182,"甘肃社会科学","Gansu Social Science",1
1183,"空运商务","Air Freight Business",1
1184,"民族艺术","Ethnic Art",1
1185,"益生菌：技术及产业化——第十二届益生菌与健康国际研讨会摘要集","Probiotics: Technology and Industrialization-A collection of abstracts from the 12th International Symposium on Probiotics and Health",1
1186,"体育文化导刊","Sports Culture Guide",1
1187,"江苏科技信息","Jiangsu Science and Technology Information",1
1188,"黑龙江畜牧兽医","Heilongjiang Animal Husbandry Veterinarian",1
1189,"黑河学刊","Heihe Journal",1
1190,"郑州大学学报(医学版)","Journal of Zhengzhou University (Medical Edition)",1
1191,"世界建筑","World Architecture",1
1192,"太平洋学报","Pacific Journal",1
1193,"音乐研究","Music Research",1
1194,"江西社会科学","Jiangxi Social Science",1
1195,"山东青年政治学院学报","Journal of Shandong Youth Political College",1
1196,"科教文汇(上旬刊)","Science and Education Literary Exchange (Upper part of the journal)",1
1197,"河南师范大学学报(哲学社会科学版)","Journal of Henan Normal University (Philosophy and Social Science Edition)",1
1198,"川北医学院学报","Journal of Sichuan North Medical College",1
1199,"中国矫形外科杂志","Chinese Journal of Orthopaedic Surgery",1
1200,"国际观察","International Observation",1
1201,"中国妇幼保健","China Maternal and Child Health",1
1202,"中国钼业","China Molybdenum",1
1203,"国际研究参考","International Research Reference",1
1204,"顺德职业技术学院学报","Journal of Shunde Vocational and Technical College",1
1205,"临床检验杂志","Journal of Clinical Laboratory",1
1206,"民族论坛","Ethnic Forum",1
1207,"东南大学学报(医学版)","Journal of Southeast University (Medical Edition)",1
1208,"2017第二届经济，金融与管理科学国际会议论文集","Proceedings of the 2nd International Conference on Economics, Finance and Management Science 2017",1
1209,"中国石油学会2017年物探技术研讨会论文集","Proceedings of the 2017 Physical Exploration Technology Symposium of the Chinese Petroleum Society",1
1210,"中国国际财经(中英文)","China International Finance (Chinese and English)",1
1211,"理论观察","Theoretical observation",1
1212,"生物学通报","Biology Bulletin",1
1213,"重庆行政(公共论坛)","Chongqing Administration (Public Forum)",1
