著者名	論文名	雑誌名	ISSN	出版者名	出版日付	巻	号	ページ	URL	URL(DOI)
山部 能宜	「禅定窟」再考―インド・中央アジアから敦煌にいたる「ヴィハーラ」窟の展開	アジア仏教美術論集 中央アジア			2017	1		473-498	https://cir.nii.ac.jp/crid/1010282256878408836	
西秋 良宏	北ユーラシアの旧人・新人交替劇―第4次ウズベキスタン旧石器遺跡調査（2016年）	「考古学が語る古代オリエント-第24回西アジア発掘調査報告会」日本西アジア考古学会編			2017	24		48-52	https://cir.nii.ac.jp/crid/1010282256879375115	
藤本 透子	「中央アジアの人びとが経験した社会主義」	『月刊みんぱく』			2017	41（12）		6	https://cir.nii.ac.jp/crid/1010282256884739075	
藤本 透子	「カザフスタン」	中牧弘允編 『世界の暦文化事典』丸善出版			2017	-		1-4	https://cir.nii.ac.jp/crid/1010282256884739076	
平川 幸子	中国のエネルギー政策と地域主義外交－「一帯一路」のモデルとしての中央アジア	アジア太平洋討究			2017	30号		89-101	https://cir.nii.ac.jp/crid/1010282256932383108	
影山 悦子	ウズベキスタン南部ファヤズテパ遺跡出土壁画の公表に向けて	奈良文化財研究所紀要			2017	2017		12-13	https://cir.nii.ac.jp/crid/1010282256940250112	
影山 悦子	ウズベキスタン南部ファヤズテパ仏教遺跡出土壁画について	2017年度シルクロード学研究会			2017	2017		5-10	https://cir.nii.ac.jp/crid/1010282256940250113	
堀川 徹	中央アジアのイスラーム	地理の研究（歴史と地理）			2017	196			https://cir.nii.ac.jp/crid/1010282257218361728	
塩谷 哲史	中央アジア乾燥地域の都市と水資源―ヒヴァ―	地理の研究（歴史と地理）			2017	196			https://cir.nii.ac.jp/crid/1010282257218361729	
久米 正吾 and 早川 裕弌 and 宮田 佳樹 and 大沼 克彦	ユーラシア古代遊牧社会形成の比較考古学：キルギス、ナリン川流域での日本-キルギス合同考古学調査（2016年）	第24回西アジア発掘調査報告会報告集			2017	24		54-58	https://cir.nii.ac.jp/crid/1010282257223501827	
	Голоса Женщин: Гендерное исследование в Таджикистане（女性の声：タジキスタンにおけるジェンダー研究）	Japanese Slavic and East European Studies			2017	38			https://cir.nii.ac.jp/crid/1010282257258261779	
斎藤, 完	ウズベキスタン共和国におけるユネスコ無形文化遺産・ナウルーズの実践 : 国家主催によるナウルーズの祭典	研究論叢. 芸術・体育・教育・心理		山口大学教育学部	2017-01-31	66		107-116	https://cir.nii.ac.jp/crid/1050564287412639104	
宗野, ふもと	シャフリサブズ「フジュム」芸術製品工場について --ソ連期ウズベキスタンにおける手工業の集団化と女性の労働	CIRAS discussion paper No.69 : 社会主義的近代とイスラーム・ジェンダー・家族 1		京都大学東南アジア地域研究研究所	2017-03	69		14-24	https://cir.nii.ac.jp/crid/1050564285808036480	
和崎, 聖日	マフルの是非をめぐる知識人のまなざし --1950-1970年代ソ連中央アジア南部地域における反イスラーム宣伝と現代	CIRAS discussion paper No.69 : 社会主義的近代とイスラーム・ジェンダー・家族 1		京都大学東南アジア地域研究研究所	2017-03	69		25-44	https://cir.nii.ac.jp/crid/1050845760784746880	
石井, 智美 and 塚口, 朋美	カザフスタン共和国西部地方での食生活調査	北海道民族学	18810047	北海道民族学会	2017-03	13		51-57	https://cir.nii.ac.jp/crid/1050845763350671360	
上原, 龍彦	【実践報告】 トルクメニスタンにおける日本語教育	早稲田日本語教育学	1882-3394	早稲田大学大学院日本語教育研究科	2017-06-16	22		161-165	https://cir.nii.ac.jp/crid/1050001202470545920	
坂井, 弘紀 and サカイ, ヒロキ and SAKAI, Hiroki	中央アジアの弦楽器	Field+ : フィールドプラス : 世界を感応する雑誌	1883-4957	東京外国語大学アジア・アフリカ言語文化研究所	2017-07-10	18		30-31	https://cir.nii.ac.jp/crid/1050845762640633088	
城倉, 正祥 and 山藤, 正敏 and ナワビ, 矢麻 and 伝田, 郁夫 and 山内, 和也 and アマンバエヴァ, バキット	キルギス共和国アク・ベシム遺跡の発掘(2015年秋期)調査出土遺物の研究 -土器・塼・杜懐宝碑編-	早稲田大学総合人文科学研究センター研究誌 = WASEDA RILAS JOURNAL	2187-8307	早稲田大学総合人文科学研究センター	2017-10-21	5		145-175	https://cir.nii.ac.jp/crid/1050001202462684160	
李, 眞恵	<書評>キム ギュンテ・カン ヒョンテ. 『ウズベキスタン・コリョ・サラムの移住と生活』ソウル : グルヌリム, 2015年, 284 p. (김균태, 강현모. 『우즈베키스탄 고려인의 이주와 삶』서울 : 글누림, 2015, 284p.)	アジア・アフリカ地域研究	1346-2466	京都大学大学院アジア・アフリカ地域研究研究科	2017-11	17	1	106-109	https://cir.nii.ac.jp/crid/1050282810834297856	
ラヒムバエヴァ, ナジム	初級日本語学習者における終助詞「ね」の習得 : カザフスタンの学習者を対象に	日本語・日本文化研究	09182233	大阪大学大学院言語文化研究科日本語・日本文化専攻	2017-12-01	27		160-169	https://cir.nii.ac.jp/crid/1050564287657713024	
孫, 遜 and 梁, 真恵	キルギス族叙事詩『マナス』の日本語訳に関する一考察 : 語彙とフレーズを中心に	京都府立大学学術報告. 人文 = The scientific reports of Kyoto Prefectural University. Humanities	1884-1732	京都府立大学	2017-12-25	69		1-22	https://cir.nii.ac.jp/crid/1050845764153920128	
堀江 典生	壁の向こう側：中央アジアから来た建築労働者たちの労働と暮らし	ユーラシア研究			2018	57		27-31	https://cir.nii.ac.jp/crid/1010000781827437313	
武田 友加	「中央アジアの雇用・貧困と社会保護制度」	宇山智彦・樋渡雅人編著『現代中央アジア：政治・経済・社会』日本評論社			2018	ー		129-156	https://cir.nii.ac.jp/crid/1010000781842383488	
大﨑 紀子	キルギス語の補助動詞kal-の意味と本質－アスペクトと共起制限をめぐる二つの疑問－	Contribution to the Studies of Eurasian Languages			2018	20		345-362	https://cir.nii.ac.jp/crid/1010000781897841292	
国武 貞克	カザフスタン南部における後期旧石器時代遺跡の調査	アジアにおけるホモ・サピエンス定着プロセスの地理的編年的枠組み構築			2018	２		44-51	https://cir.nii.ac.jp/crid/1010000781958499712	
国武 貞克	カザフスタン南部カラタウ山地における後期旧石器時代遺跡の調査	第19回北アジア調査研究報告会			2018	19		1-4	https://cir.nii.ac.jp/crid/1010000781958499713	
堀川 徹	コラム11 中央アジア古文書研究セミナー	小松久男他編『中央ユーラシア史研究入門』（山川出版社）			2018	該当せず		134	https://cir.nii.ac.jp/crid/1010003825621174019	
堀川 徹	学術交流 : 中央アジア歴史文書プロジェクト(日本とのかかわり)	帯谷知可編『ウズベキスタンを知るための60章』（明石書店）			2018	該当せず		352-355	https://cir.nii.ac.jp/crid/1010003825621174027	
和崎 聖日	伝統遊戯とスポーツ : 格闘大国ウズベキスタンのクラシュ(文化・芸術)	帯谷知可編『ウズベキスタンを知るための60章』（明石書店）			2018	該当せず		271-277	https://cir.nii.ac.jp/crid/1010003825621174028	
和崎 聖日	旧ソ連・中央アジアのスーフィズムと病気治療―アフマド・ヤサヴィーの現代的意義に寄せて―	日本中央アジア学会報			2018	14		45-46	https://cir.nii.ac.jp/crid/1010003825634031104	
	特別講演会記録 ウズベキスタン ブハラ・オアシスの発掘調査とシルクロード	史友			2018	50		29-39	https://cir.nii.ac.jp/crid/1010282256874667904	
	ヒジョブとルモルの境界―社会主義的世俗主義を経たウズベキスタンのイスラーム・ヴェール問題	帯谷知可・後藤絵美編『装いと規範―現代におけるムスリム女性の選択とその行方』			2018	CIRAS Discussion Paper No. 80		15-25	https://cir.nii.ac.jp/crid/1010282256878393092	
藤本 透子	「イスラーム社会における喜捨―中央アジアのカザフスタンを中心に」	伊藤利勝編『功徳と喜捨と贖罪―宗教の政治経済学』愛知大学人文社会学研究所			2018	-		203-245	https://cir.nii.ac.jp/crid/1010282256884739073	
影山 悦子	ウズベキスタン南部ファヤズテパ遺跡出土壁画の公表に向けて：平成29年度	奈良文化財研究所紀要			2018	2018			https://cir.nii.ac.jp/crid/1010282256940250114	
雲 和広	ウズベキスタンの人口動態	帯谷知可編『ウズベキスタンを知るための60章』明石書店			2018	書籍所収論文			https://cir.nii.ac.jp/crid/1010282257258261634	
影山 悦子	ウズベキスタン南部ファヤズテパ遺跡出土壁画の公表に向けて：2017年度	奈良文化財研究所紀要			2018	-		16-17	https://cir.nii.ac.jp/crid/1010285300550921088	
宇山 智彦	中央アジア：カザフ草原とトルキスタン	小松久男、荒川正晴、岡洋樹編『中央ユーラシア史研究入門』山川出版社			2018	－		229-251	https://cir.nii.ac.jp/crid/1010285300600470914	
宇山 智彦	中央アジアと中国の関係の現実的な理解のために	東亜			2018	12月号		30-38	https://cir.nii.ac.jp/crid/1010285300600470923	
富樫 耕介	「ウズベキスタンにおける権力移行：権威主義体制下における大統領の死去と新体制誕生までの経緯」	『ロシア・ユーラシアの経済と社会』			2018	1029		2-21	https://cir.nii.ac.jp/crid/1010285300610795136	
地田 徹朗	カザフスタンにおける『近代化』と強制農業集団化	ロシア・ユーラシアの経済と社会			2018	1031		31-52	https://cir.nii.ac.jp/crid/1010566775521780995	
	カザフスタン南部カラタウ山地における旧石器時代遺跡の探索	旧石器研究			2018	14		33-50	https://cir.nii.ac.jp/crid/1010566775522355586	
地田 徹朗	中央アジア・アラル海地域の環境・社会・経済：持続可能な開発に向けて	地理・地図資料			2018	2008/2		8-11	https://cir.nii.ac.jp/crid/1010566775577163012	
雲 和広	ウズベキスタンの人口動態	帯谷知可編『ウズベキスタンを知るための60章』明石書店 ISBN 978-4750346373			2018	－		201-205	https://cir.nii.ac.jp/crid/1010848250358922893	
市橋 克哉	ウズベキスタンにおける行政法の法典化と法解釈および法解釈学の可能性	ICD News			2018	75		23-28	https://cir.nii.ac.jp/crid/1010848250427113224	
青木 雅浩	ルスクロフ―中央アジアとモンゴルを股にかけた革命家	ロシア革命とソ連の世紀			2018	5		67-68	https://cir.nii.ac.jp/crid/1010848250429526532	
地田 徹朗	中央アジア・アラル海地域の環境・社会・経済：持続可能な開発に向けて	地図・地理資料			2018	(2018年2学期)		8-11	https://cir.nii.ac.jp/crid/1010848250515992192	
地田 徹朗	【テーマ書評】乾燥地・半乾燥地での水：中央アジアを知るための五冊	Artes Mundi			2018	4		160-165	https://cir.nii.ac.jp/crid/1010848250516697733	
木下 こづえ	キルギスにおけるユキヒョウ研究の試み	ヒマラヤ学誌			2018	19		197-184	https://cir.nii.ac.jp/crid/1010848250567338116	
樹神, 成 and Kodama, Shigeru	「大統領―政府―議会」の関係から見たキルギス憲法	三重大学法経論叢 = The Journal of law and economics	0289-7156	三重大学法律経済学会	2018-01-31	35	1	1-21	https://cir.nii.ac.jp/crid/1050001202960928512	
平川, 幸子	中国のエネルギー政策と地域主義外交 -「一帯一路」のモデルとしての中央アジア-	アジア太平洋討究	1347-149X	早稲田大学アジア太平洋研究センター	2018-01-31	30		89-101	https://cir.nii.ac.jp/crid/1050282677439432832	
タスタンベコワ, クアニシ	<研究論文>カザフスタンにおける教師教育改革の動向と課題	筑波大学教育学系論集	03858979	筑波大学人間系教育学域	2018-03	42	2	87-97	https://cir.nii.ac.jp/crid/1050001202548835072	
李, 眞恵	<フィールドワーク便り>こんにちは, カザフスタン! --アルマトゥのカフェ巡り--	アジア・アフリカ地域研究	1346-2466	京都大学大学院アジア・アフリカ地域研究研究科	2018-03	17	2	327-331	https://cir.nii.ac.jp/crid/1050564285811015552	
岩本, 篤志	南ウズベキスタンの仏教遺跡に関する諸問題 ー立正隊の活動によせて	立正大学文学部論叢 = BUNGAKU-BU RONSO	0485-215X	立正大学文学部	2018-03-20	141		29-56	https://cir.nii.ac.jp/crid/1050850711083383936	
島津, 弘 and 大石, 雅之	ウズベキスタン南部，テルメズ近郊の遺跡群が立地する地形	地域研究 = REGIONAL STUDIES	0389-6641	立正地理学会	2018-03-25	58		30-43	https://cir.nii.ac.jp/crid/1050291768533990656	
宮﨑, 理	非自発的マイノリティにとっての「歴史的祖国」に関する一考察 ： ウズベキスタンの朝鮮族を例に	旭川大学保健福祉学部研究紀要 = The journal of Faculty of Health and Welfare Science, Asahikawa University	1883-7247	旭川大学保健福祉学部	2018-03-31	10		1-11	https://cir.nii.ac.jp/crid/1050001338220319616	
NISHIAKI, Yoshihiro and ARIPDJANOV, Otabek and RAJABOV, Alisher and SAYFULLAYEV, Baxtiyor and NAKATA, Hiroto and ARAI, Saiji and AKASHI, Chie	PREHISTORIC CAVES AND ROCKSHELTERS IN THE MACHY VALLEY, SURKHANDARYA, SOUTH UZBEKISTAN	ラーフィダーン = al-Rāfidān = JOURNAL OF WESTERN ASIATIC STUDIES	0285-4406	国士舘大学イラク古代文化研究所	2018-03-31	39		31-41	https://cir.nii.ac.jp/crid/1050845763755884416	
斉, 会君	唐のキルギス宛国書の発給順と撰文過程―ウイグル・キルギス交替期を中心に―	東洋学報 = The Toyo Gakuho	0386-9067	東洋文庫	2018-06	100	1	1-31	https://cir.nii.ac.jp/crid/1050282677932983296	
イドリッソバ, アイナッシュ	移行期カザフスタンにおけるレストラン事業 -アスタナ市の3事例を中心として-	経営学研究論集	1340-9190	明治大学大学院	2018-09-07	49		79-91	https://cir.nii.ac.jp/crid/1050013109570219136	
齋藤, 篤	「人間科学研究交流会」報告 第35回 : カザフ人の人生儀礼に関する文化人類学的研究-カザフスタン共和国アルマトゥ市の事例より-	人間科学研究 = Waseda Journal of Human Sciences	1880-0270	早稲田大学人間科学学術院	2018-09-28	31	2	194-195	https://cir.nii.ac.jp/crid/1050845764100748544	
城倉, 正祥 and 山藤, 正敏 and ナワビ, 矢麻 and 伝田, 郁夫 and 山内, 和也 and アマンバエヴァ, バキット	キルギス共和国アク・ベシム遺跡の発掘(2015年秋期)調査出土遺物の研究 -土器・瓦編-	早稲田大学総合人文科学研究センター研究誌 = WASEDA RILAS JOURNAL	2187-8307	早稲田大学総合人文科学研究センター	2018-10-20	6		205-257	https://cir.nii.ac.jp/crid/1050282677448368256	
上原, 龍彦	【実践報告】トルクメニスタンにおける中等教育向け日本語教科書制作	早稲田日本語教育学	1882-3394	早稲田大学大学院日本語教育研究科	2018-12-14	25		113-118	https://cir.nii.ac.jp/crid/1050001202531592064	
久米 正吾	キルギス、天山山中の移牧民遺跡の考古学調査	中央アジア牧畜社会研究叢書			2019	1		5-16	https://cir.nii.ac.jp/crid/1010005505826484739	
斎藤 成也	カザフスタンにおけるラクダ2種類の雑種DNA	中央アジア牧畜社会研究叢書			2019	1		71-74	https://cir.nii.ac.jp/crid/1010005505826484748	
久米 正吾	中央アジア初期農耕牧畜民の交流から東西交渉の始まりを探る―キルギス、モル・ブラク1遺跡（第3次）、ウズベキスタン、ダルヴェルジン遺跡（第2次）の発掘調査（2019年）	日本西アジア考古学			2019	27		56-61	https://cir.nii.ac.jp/crid/1010005505826484751	
地田 徹朗	カザフスタン・小アラル海地域での牧畜の特性に関する萌芽的調査ー遠隔村・アクバトゥ村を中心に	中央アジア牧畜社会研究叢書			2019	1		49-62	https://cir.nii.ac.jp/crid/1010005505826484752	
塩谷 哲史	中央アジア古文書研究の可能性	歴史と地理 世界史の研究			2019	260		55-58	https://cir.nii.ac.jp/crid/1010005505868002560	
荒川 正晴	中央アジアの大型墳丘墓について	日本古墳研究リソースを活かした墳丘墓築造と社会関係の国際研究展開			2019	単行		83-100	https://cir.nii.ac.jp/crid/1010285300405296007	
中山 紀子	イスラームに覆われた自然崇拝――ウズベキスタンの水源信仰に関する 2017 年度基礎調査	Afro-Eurasian Inner Dry Land Civilizations			2019	Vol.7		39-54	https://cir.nii.ac.jp/crid/1010285300487078529	
荒井 正剛 and 志村 喬 and 吉水 裕也	アラル海の教材化に向けて－ウズベキスタンからとらえたアラル海	地理			2019	64		84-91	https://cir.nii.ac.jp/crid/1010286980753150594	
森谷 公俊	パキスタン北部とウズベキスタンにおけるアレクサンドロス遠征路の実地調査（2018年）	帝京史学			2019	34		309-367	https://cir.nii.ac.jp/crid/1010566775463689601	
浅川 俊夫 and 秋本 弘章	ウズベキスタンからとらえたアラル海② 西アラル海を見る。	地理			2019	64（3）		4-11	https://cir.nii.ac.jp/crid/1010566775519552002	
荒井 正剛	ウズベキスタンの教育・文化	地理			2019	64（４）		74-81	https://cir.nii.ac.jp/crid/1010566775519552004	
国武 貞克	カザフスタンにおける後期旧石器時代遺跡の発掘調査概要	アジアにおけるホモ・サピエンス定着プロセスの地理的編年的枠組み構築 2018年度研究報告			2019	3		113-118	https://cir.nii.ac.jp/crid/1010566775522355585	
国武 貞克	カザフスタン南部天山山脈北麓の新発見遺跡クズルアウス2遺跡第1次発掘調査速報	第20回北アジア調査研究報告会			2019	20		5-8	https://cir.nii.ac.jp/crid/1010566775522355587	
廣瀬 陽子	「中国「一帯一路」の影響：キルギスの事例から	国際情勢			2019	90		101-113	https://cir.nii.ac.jp/crid/1010568455646456193	
宗野 ふもと	ソ連期ウズベキスタンにおける社会主義的近代化と女性―シャフリサブズ「フジュム」芸術製品工場の労働者の事例から	日本中央アジア学会報			2019	第15号		1-22	https://cir.nii.ac.jp/crid/1010568455793680640	
宮田 佳樹	中央アジア初期農耕牧畜民の交流から東西交渉の始まりを探る－キルギス、モル・ブラク1遺跡（第2次）、ウズベキスタン、ダルヴェルジン遺跡（第1次）の発掘調査（2018年）－	西アジア発掘調査報告会報告集			2019	26		41-45	https://cir.nii.ac.jp/crid/1010848250426801923	
