Author	Title	Journal	ISSN	Publisher	Date	Volume	Number	Page	URL	URL(DOI)
HAMADA Masami	『帰真総義』-中央アジアにおけるその源流	中国宗教文献研究(京都大学人文科学研究所編)			2007			447-458	https://cir.nii.ac.jp/crid/1010000782445462275	
HAGA Mitsuru	中央アジアのギリシア系都市を掘るーウズベキスタン共和国カンピール・テパ第1次発掘調査-	西アジア発掘調査報告会報告集(日本西アジア考古学会) 14			2007			95-100	https://cir.nii.ac.jp/crid/1010000782448980993	
HAGA Mitsuru	中央アジアのギリシア系都市を掘るーウズベキスタン共和国カンピール・テパ第1次発掘調査	考古学が語るオリエントー西アジア発掘調査報告会報告集 14			2007			95-100	https://cir.nii.ac.jp/crid/1010000782448981014	
HAGA Mitsuru	ウズベキスタン共和国カンピール・テパ発掘調査速報(2007年度)	ヘレニズム〜イスラーム考古学研究 14			2007			91-97	https://cir.nii.ac.jp/crid/1010000782448981022	
	放っておけない「V-テオク」構文-東・南・中央アジア諸語における「PUT/KEEP」の文法化の記述的研究-	日本言語学会 第135回大会予稿集			2007			298-303	https://cir.nii.ac.jp/crid/1010000782450524545	
淺村 卓生	ウズベキスタンの現代演劇	浅倉世界地理講座 5(校正中)			2007				https://cir.nii.ac.jp/crid/1010282256614023043	
野田 仁	18世紀中央アジアにおける露清関係-ジューンガル政権崩壊からカザフ、アルタイ諸族の帰属問題へ-	『史学雑誌』 116-9			2007			1-37	https://cir.nii.ac.jp/crid/1010282256644037250	
野田 仁	清代〓案史料と中央アジア史研究-『清代中哈関係〓案彙編』の出版に寄せて-	『満族史研究』 6			2007			162-173	https://cir.nii.ac.jp/crid/1010282256644037251	
KOMATSU Hisao	ロシア革命とイスラーム:中央アジアを中心に	『ユーラシア研究』 37			2007			1-15	https://cir.nii.ac.jp/crid/1010282256849699600	
	首都の祭典,農村の祝日-クルグズスタン(キルギス)、ノールズ復興に見る『国家』と『民族』	新免康編『中央アジアにおけるウイグル人地域社会の変容と民族アイデンティティに関する調査研究』			2007			219-237	https://cir.nii.ac.jp/crid/1010282256908877831	
WATANABE Teiji	タジキスタン共和国タジク国立公園の価値と管理の現状	国立公園 651			2007			26-28	https://cir.nii.ac.jp/crid/1010282256912969219	
樹神 成	ウズベキスタンにおける行政手続法と日本の法i整備支援	ウズベキスタンにおける行政改革:法的規制の経験と諸問題(ロシア語)			2007			12-20	https://cir.nii.ac.jp/crid/1010282256984927104	
市橋 克哉	ウズベキスタンにおける行政手続法への日本のアプローチ	ウズベキスタンにおける行政改革:法的規制の経験と諸問題(ロシア語)			2007			63-70	https://cir.nii.ac.jp/crid/1010282256984927105	
徳田 博人	行政手続法の執行のための日本とウズベキスタンの協力について	ウズベキスタンにおける行政改革:法的規制の経験と諸問題(ロシア語)			2007			78-84	https://cir.nii.ac.jp/crid/1010282256984927106	
本多 滝夫	ウズベキスタンにおける行政手続法の問題と課題	ウズベキスタンにおける行政改革=法的規制の経験と諸問題(ロシア語)			2007			78-84	https://cir.nii.ac.jp/crid/1010282256984927107	
TORIGOE Takashi	ウズベキスタンにおける聾学校への教育開発支援の試み	予報, 学校教育学研究(兵庫教育大学学校教育研究センター紀要) 19			2007			121-127	https://cir.nii.ac.jp/crid/1010282257409710852	
SHINMEN Yasushi	国際研究ワークショップ『新彊・中央アジアにおけるウイグル人の社会・文化と民族アイデンティティ』(International Workshop >>Uyghur Society, Culture and Ethnic Identity in Xinjiang and Central Asia<<)	日本中央アジア学会 第3号			2007			52-58	https://cir.nii.ac.jp/crid/1010282257467034770	
ボルジュロワ, イシェングル	キルギス共和国における高等教育――近代化と国際化がもたらす諸問題	Asia Japan Journal		国士舘大学アジア・日本研究センター	2007	2			https://cir.nii.ac.jp/crid/1050001337713791616	
岩﨑, 一郎	ウズベキスタン経済の産業組織 : 制度的慣性と変化の予兆（ユーラシア巡見第4回）	ロシアNIS調査月報	1881-4425	ロシアNIS貿易会	2007-01	52	2	74-80	https://cir.nii.ac.jp/crid/1050282811124469376	
Sugiura, Chisato	<Practical Articles>The Current State and Issues of Japanese Language Education in Kazakhstan	筑波大学留学生センター日本語教育論集	1348-1363	筑波大学留学生センター	2007-02-28	22		121-128	https://cir.nii.ac.jp/crid/1050001202541264384	
チョン, アジム and Ajim, Qong	中国新疆ウイグル自治区の中央アジア諸国に対する対外貿易について	熊本大学社会文化研究	1348530X	熊本大学	2007-02-28	5		173-192	https://cir.nii.ac.jp/crid/1050564287874066944	
金川, 克子 and 山岸, 映子 and 田村, 須賀子 and 西村, 真実子 and 大木, 秀一 and 杵淵, 恵美子 and 伴, 真由美 and 浅見, 洋 and 曽根, 志穂 and 梅山, 直子 and 高窪, 美智子 and 杉原, 敏雄 and 田中, 理 and 吉村, 香代子	タジキスタン共和国における母子保健プロジェクトの支援活動の実情 わが国への研修員受け入れ事業を通して	石川看護雑誌	1349-0664	石川県公立大学法人 石川県立看護大学	2007-03	4		1-9	https://cir.nii.ac.jp/crid/1050282812613018880	
村山, 和之	イスラーム礼拝施設実見録--ウズベキスタン・オアシス都市での祈り方「バハウッディン」と「ヒズル・モスク」にて	東西南北 = Bulletin of the Wako Institute of Social and Cultural Sciences		和光大学総合文化研究所	2007-03-15	2007		199-209	https://cir.nii.ac.jp/crid/1050001338313779200	
ボロノフ, バフティヤル	19世紀末から20世紀初頭にかけてのブハラの美術工芸 (研究プロジェクト 中央アジア諸民族の文化諸相に関する動態的研究)	東西南北 = Bulletin of the Wako Institute of Social and Cultural Sciences		和光大学総合文化研究所	2007-03-15	2007		230-234	https://cir.nii.ac.jp/crid/1050282813290490496	
坂井, 弘紀	中央ユーラシアの英雄叙事詩『チョラ・バトゥル』の地域的特徴再考 : ノガイとカラカルパクのヴァリアントについて (研究プロジェクト 中央アジア諸民族の文化諸相に関する動態的研究)	東西南北 = Bulletin of the Wako Institute of Social and Cultural Sciences		和光大学総合文化研究所	2007-03-15	2007		210-229	https://cir.nii.ac.jp/crid/1050564288267200640	
前田, たつひこ	連珠円文を求めて (研究プロジェクト 中央アジア諸民族の文化諸相に関する動態的研究)	東西南北 = Bulletin of the Wako Institute of Social and Cultural Sciences		和光大学総合文化研究所	2007-03-15	2007		186-198	https://cir.nii.ac.jp/crid/1050845763243911168	
加藤, 巌	ウズベキスタンの物価・所得水準と人間開発指数から考える生活環境 (研究プロジェクト 中央アジア諸民族の文化諸相に関する動態的研究)	東西南北 = Bulletin of the Wako Institute of Social and Cultural Sciences		和光大学総合文化研究所	2007-03-15	2007		235-250	https://cir.nii.ac.jp/crid/1050845763243912064	
TASTANBEKOVA, Kuanysh	<IV. 修士学位論文概要（2006年度）>カザフスタンの言語教育政策の歴史的展開にみる国民形成の課題	教育学論集		筑波大学大学院人間総合科学研究科教育学専攻	2007-03-31	3		209-214	https://cir.nii.ac.jp/crid/1050001202547224320	
小松, 久男	聖戦から自治構想へ：20世紀初頭の中央アジア（2007年度春期東洋学講座講演要旨）	東洋学報 = The Toyo Gakuho	0386-9067	東洋文庫	2007-09	89	2	233-235	https://cir.nii.ac.jp/crid/1050001338812700800	
笠原, 俊宏 and カサハラ, トシヒロ and Toshihiro, Kasahara	キルギスタン共和国民法典(一九九八年)中の国際私法規定	東洋法学 = Toyohogaku	0564-0245	東洋大学法学会	2007-10-15	51	1	235-254	https://cir.nii.ac.jp/crid/1050564288813913344	
鳥越, 隆士	ウズベキスタンにおける聾学校への教育開発支援の試み：予報	学校教育学研究	0915-387X	兵庫教育大学学校教育研究センター	2007-12-25	19		121-127	https://cir.nii.ac.jp/crid/1050001335865789312	
鳳 英里子	ソビエト・ウズベキスタン建築の表層に現れた地域性の展開:集合住宅をケース・スタディとして	日本建築学会計画系論文集 73巻			2008			1089-1095	https://cir.nii.ac.jp/crid/1010000781637878528	
FUNAKAWA Shinya and KOSAKI Takashi and YANAI Junta	カザフスタンにおける最新土壌研究-乾燥地・半乾燥地における持続的土地利用とは何か? -, [講座]アジアにおける多様な土壌と我が国ペドロジストによる研究の最前線	日本土壌肥料学雑誌 79			2008			399-407	https://cir.nii.ac.jp/crid/1010000781979599115	
HAGA Mitsuru	ウズベキスタン共和国カンピール・テパ第3次発掘調査速報(2008年度)	ヘレニズム〜イスラーム考古学研究 15			2008			19-22	https://cir.nii.ac.jp/crid/1010000782029680151	
ICHIHASHI Katsuya	ウズベキスタンにおける行政法改革	法政論集(名古屋大学) 225号			2008			321-350	https://cir.nii.ac.jp/crid/1010000782033306499	
KAGEYAMA Etsuko	中国新出ソグド人葬具に見られる鳥翼冠と三面三日月冠-エフタルの中央アジア支配の影響	オリエント 50-2			2008			120-140	https://cir.nii.ac.jp/crid/1010000782055356418	
	民族的マイノリティの語選択とアイデンティティ-旧ソ連弊アジア・ウズベキスタンの較	言語情報科学専攻 第6号			2008			265-282	https://cir.nii.ac.jp/crid/1010000782427225600	
	言語とアイデンティティ-旧ソ連中央アジアの民族的マイノリティの言語選択-	日本中央アジア学会報 第4号			2008			7-8	https://cir.nii.ac.jp/crid/1010000782427225601	
	「言語選択とアイデンティティ-旧ソ連多民族地域の事例-」『中央アジアのウズベク・タジク等諸民族の言語接触等に関する社会言語学的〓	(平成18年度〜平成19年度群研究補助金(基盤研究(C)研究成果報告書)課題番号:18520330研究代表者菅野裕臣 東京外国語 2冊中の第1分冊			2008			75-144	https://cir.nii.ac.jp/crid/1010000782427225602	
鳥脇 純一郎 and 高木 隆司 and 水野 慎士 and 出原 立子	芯線上に分布する図形幅情報に基づく形状特徴と中央アジアの石刻絵画分類への応用	中京大学生命システム工学部テクニカルレポート(LSST Report) No. 2008-1			2008			1-21	https://cir.nii.ac.jp/crid/1010000782430077323	
熊谷 瑞恵	家庭の食事からみるウイグル族のつきあい-中央アジア新疆カシュガルにおける事例から	イスラーム世界研究 1巻2号			2008			279-329	https://cir.nii.ac.jp/crid/1010000782435782272	
HAGA Mitsuru	中央アジアのギリシア系都市を掘るーウズベキスタン共和国カンピール・テパ第2次発掘調査-	西アジア発掘調査報告会報告集(日本西アジア考古学会) 15			2008			139-145	https://cir.nii.ac.jp/crid/1010000782448980868	
HAGA Mitsuru	中央アジアのギリシア系都市を掘るーウズベキスタン共和国カンピール・テパ第2次発掘調査	考古学が語るオリエントー第15回西アジア発掘調査報告会報告集 15			2008			139-145	https://cir.nii.ac.jp/crid/1010000782448981013	
HAGA Mitsuru	中央アジアのギリシア系都市を掘る-ウズベキスタン共和国カンピール・テパ第2次発掘調査	考古学が語るオリエントー第15回西アジア発調査報告会報告集 15			2008			139-145	https://cir.nii.ac.jp/crid/1010000782448981023	
FUNAKAWA Shinya and KOSAKI Takashi	1. カザフスタンにおける最新土壌研究-乾燥地・半乾燥地における持続的土地利用とは何か?-, [講座]アジアにおける多様な土壌と我が国ペドロジストによる研究の最前線	土肥誌 79(4)			2008			399-407	https://cir.nii.ac.jp/crid/1010000782469209473	
FUNAKAWA Shinya and KOSAKI Takashi	1. カザフスタンにおける最新土壌研究-乾燥地・半乾燥地における持続的土地利用とは何か? -[講座]アジアにおける多様な土壌と我が国ペドロジストによる研究の最前線	日本土壌肥料学雑誌 79			2008			399-407	https://cir.nii.ac.jp/crid/1010000782469209626	
	地方主義と国家 - ウズベキスタンとタジキスタンにおけるソビエト人事政策とその影響 -	国際政治経済学研究(筑波大学国際政治経済学専攻紀要) 第21号			2008			13-37	https://cir.nii.ac.jp/crid/1010000782483741956	
	中央アジア地域における水管理政策と諸国間関係 : 現状、課題と展望	地域研究 (筑波大学地域研究研究科紀要) 29号			2008			23-40	https://cir.nii.ac.jp/crid/1010000782483741957	
	地方主義と国家-ウズベキスタンとタジキスタンにおけるソビエト人事政策とその影響-	国際政治経済学研究 21号			2008			13-37	https://cir.nii.ac.jp/crid/1010000782483741969	
	中央アジア地域における水管理政策と諸国間関係 : 現状、課題と展望	地域研究 29号			2008			23-40	https://cir.nii.ac.jp/crid/1010000782483741970	
	「地方主義と国家-ウズベキスタンとジキスタンにおけるソビエト人事政策とその影響-」	『国際政治経済学研究』 30			2008			1-25	https://cir.nii.ac.jp/crid/1010000782483742080	
藤本 透子	ポスト・ソビエト時代の死者供養-カザフスタン北部農村における犠牲祭の事例を中心に	スラヴ研究 55			2008			1-28	https://cir.nii.ac.jp/crid/1010282256613772032	
藤本 透子	民営化後の土地借用と「祖先の土地」-カザフスタン北部農村を事例として	日本中央アジア学会報 4			2008			9-11	https://cir.nii.ac.jp/crid/1010282256613772033	
	中央アジア研究動向国際シンポジウム 移動する中国ムスリム-ヒトと知識と経済を結ぶネットワーク	日本中央アジア学会報 4			2008			56-63	https://cir.nii.ac.jp/crid/1010282256908877703	
	キルギス共和国南部,パミール・アライ山脈の観光	地理 53(1)			2008			56-59	https://cir.nii.ac.jp/crid/1010282256912969344	
OSUGI Takuzo	未知の国 トルクメニスタン	Silk Road(九州シルクロード協会) 17			2008			2-6	https://cir.nii.ac.jp/crid/1010282257015140608	
ONOZAWA Masaki	中央アジアと日本の交流の歩みと将来展望 : 筑波大学の役割に関連させて	第6回文明のクロスロード : ことば・文化・社会の様相(筑波大学中央アジア連携センター)			2008			1-3	https://cir.nii.ac.jp/crid/1010282257405625219	
	中央アジア地域における水管理政策と諸国間関係 : 現状、課題と展望	地域研究 29号			2008			23-40	https://cir.nii.ac.jp/crid/1010282257405658125	
SAKAI Hiroki	中央アジアの英雄叙事詩	シリーズことばの世界 こたえる 1			2008			174-175	https://cir.nii.ac.jp/crid/1010282257409009433	
KOZAN Osamu and TAKARA Kaoru	中央アジア・キジルクム砂漠における地表面フラックス観測	京都大学防災研究所年報 51			2008			21-28	https://cir.nii.ac.jp/crid/1010282257419970562	
KOZAN Osamu and TAKARA Kaoru	中央アジア・キジルクム砂漠における地表面モニタリング	京都大学防災研究所年報 51B(印刷中)			2008				https://cir.nii.ac.jp/crid/1010282257419970568	
UYAMA Tomohiko	研究案内 : 中央アジア・ロシアのイスラーム	イスラーム世界研究マニュア(小杉泰・林佳世子・東長靖編)(名古屋大学出版会)			2008			398-402	https://cir.nii.ac.jp/crid/1010282257426867587	
	南ウラルと西カザフスタンのテュルク系諸民族に対するロシア帝国の政策の同時性(18-19世紀前半)	ロシア史研究 82			2008			61-77	https://cir.nii.ac.jp/crid/1010282257426867589	
UYAMA Tomohiko	研究案内 : 中央アジア・ロシアのイスラーム	小杉泰・林佳世子・東長靖編『イスラーム世界研究マニュアル』名古屋大学出版会			2008			398-402	https://cir.nii.ac.jp/crid/1010282257426867715	
	南ウラルと西カザフスタンのテュルク系諸民族に対するロシア帝国の政策の同時性(18-19世紀前半)	ロシア史研究 82号			2008			61-77	https://cir.nii.ac.jp/crid/1010282257426867718	
